町コード,町名,緯度,経度
000101,川崎,35.061172,134.030946
000102,野介代,35.075027,134.0295
000103,林田,35.070067,134.017311
000201,東新町,35.063372,134.018721
000202,西新町,35.062343,134.015917
000203,中之町,35.061504,134.013087
000204,勝間田町,35.060822,134.011668
000205,林田町,35.060171,134.010362
000206,橋本町,35.05995,134.009069
000207,上之町,35.063943,134.016621
000301,材木町,35.059179,134.008251
000302,伏見町,35.05857,134.006705
000303,京町,35.058782,134.003732
000304,河原町,35.058268,134.005137
000305,船頭町,35.05763,134.003585
000306,小性町,35.058093,134.00278
000307,吹屋町,35.057212,133.999906
000308,新魚町,35.058696,134.000444
000401,堺町,35.058413,134.001421
000402,二階町,35.060084,134.001464
000403,元魚町,35.060565,134.00069
000404,新職人町,35.058785,133.999498
000405,戸川町,35.059207,133.998953
000406,本町２丁目,35.060082,133.999642
000407,本町３丁目,35.060168,133.998392
000408,美濃町,35.060802,133.999839
000501,桶屋町,35.058024,133.998697
000502,下紺屋町,35.0614,133.999107
000503,鍛治町,35.060886,133.998498
000504,坪井町,35.060584,133.996705
000505,福渡町,35.059854,133.996612
000506,細工町,35.06165,133.996822
000507,上紺屋町,35.061258,133.99678
000508,宮脇町,35.06052,133.99493
000509,南新座,35.058245,133.996787
000601,山下,35.061717,134.004087
000602,北町,35.065889,134.005944
000603,椿高下,35.066431,134.001702
000604,城代町,35.065769,133.99823
000605,田町,35.062908,133.997564
000606,大手町,35.059881,134.003629
000701,西寺町,35.059907,133.991881
000702,鉄砲町,35.057325,133.99379
000703,新茅町,35.05795,133.990947
000704,西今町,35.060421,133.992907
000705,茅町,35.059729,133.988852
000706,安岡町,35.061451,133.986779
000707,小田中,35.064474,133.988516
000801,上河原,35.085397,134.003667
000802,北園町,35.076578,134.006452
000803,山北,35.070585,134.004009
000804,総社,35.076039,133.989406
000805,小原,35.083801,133.99276
000901,志戸部,35.079019,134.019755
000902,勝部,35.08725,134.025363
000903,籾保,35.096046,134.024629
000904,紫保井,35.091593,134.014451
000905,大田,35.091396,134.00579
000906,沼,35.077169,134.012521
000907,弥生町,35.074819,134.015296
001001,二宮,35.063948,133.968385
001101,院庄,35.060132,133.95204
001102,神戸,35.062965,133.941498
001103,戸島,35.071245,133.950607
001201,福田,35.021364,133.964037
001202,高尾,35.035706,133.960202
001203,皿,35.038463,133.973837
001204,平福,35.050094,133.969187
001205,中島,35.053025,133.961575
001206,一方,35.049317,133.980029
001207,津山口,35.057198,133.985525
001208,井口,35.05021,133.987988
001301,大谷,35.046604,133.996685
