地区ＣＤ,集計年月,緯度,経度,地区名,日本人男,日本人女,外国人男,外国人女
000101,202007,35.061172,134.030946,川崎,1302,1439,15,14
000102,202007,35.075027,134.0295,野介代,1046,1131,2,22
000103,202007,35.070067,134.017311,林田,1137,1311,0,9
000201,202007,35.063372,134.018721,東新町,66,77,0,0
000202,202007,35.062343,134.015917,西新町,47,56,0,1
000203,202007,35.061504,134.013087,中之町,43,51,1,1
000204,202007,35.060822,134.011668,勝間田町,18,21,0,0
000205,202007,35.060171,134.010362,林田町,42,50,0,0
000206,202007,35.05995,134.009069,橋本町,20,24,0,0
000207,202007,35.063943,134.016621,上之町,322,387,0,1
000301,202007,35.059179,134.008251,材木町,40,54,0,2
000302,202007,35.05857,134.006705,伏見町,36,51,0,0
000303,202007,35.058782,134.003732,京町,41,54,0,1
000304,202007,35.058268,134.005137,河原町,30,39,0,0
000305,202007,35.05763,134.003585,船頭町,25,30,0,0
000306,202007,35.058093,134.00278,小性町,34,45,0,0
000307,202007,35.057212,133.999906,吹屋町,59,84,0,0
000308,202007,35.058696,134.000444,新魚町,30,34,0,0
000401,202007,35.058413,134.001421,堺町,24,33,0,0
000402,202007,35.060084,134.001464,二階町,22,45,0,0
000403,202007,35.060565,134.00069,元魚町,12,31,0,0
000404,202007,35.058785,133.999498,新職人町,16,24,0,0
000405,202007,35.059207,133.998953,戸川町,50,48,3,4
000406,202007,35.060082,133.999642,本町２丁目,10,9,0,0
000407,202007,35.060168,133.998392,本町３丁目,23,22,1,0
000408,202007,35.060802,133.999839,美濃町,8,9,0,0
000501,202007,35.058024,133.998697,桶屋町,15,21,0,0
000502,202007,35.0614,133.999107,下紺屋町,15,18,0,0
000503,202007,35.060886,133.998498,鍛治町,15,17,1,0
000504,202007,35.060584,133.996705,坪井町,38,46,0,0
000505,202007,35.059854,133.996612,福渡町,38,49,4,2
000506,202007,35.06165,133.996822,細工町,20,23,0,0
000507,202007,35.061258,133.99678,上紺屋町,20,27,0,0
000508,202007,35.06052,133.99493,宮脇町,22,33,2,4
000509,202007,35.058245,133.996787,南新座,218,253,3,2
000601,202007,35.061717,134.004087,山下,141,138,1,1
000602,202007,35.065889,134.005944,北町,118,130,2,3
000603,202007,35.066431,134.001702,椿高下,225,253,2,3
000604,202007,35.065769,133.99823,城代町,16,14,1,0
000605,202007,35.062908,133.997564,田町,337,428,7,6
000606,202007,35.059881,134.003629,大手町,12,16,2,0
000701,202007,35.059907,133.991881,西寺町,91,102,0,0
000702,202007,35.057325,133.99379,鉄砲町,156,166,0,0
000703,202007,35.05795,133.990947,新茅町,12,11,0,2
000704,202007,35.060421,133.992907,西今町,56,82,0,9
000705,202007,35.059729,133.988852,茅町,51,63,0,1
000706,202007,35.061451,133.986779,安岡町,82,91,0,0
000707,202007,35.064474,133.988516,小田中,1655,1860,31,20
000801,202007,35.085397,134.003667,上河原,881,990,0,6
000802,202007,35.076578,134.006452,北園町,523,589,4,9
